TTNBR,SERVICEACCTNBR,ServiceType,TROUBLECODEDESC,CONTACTDATETIME,Longitude,Latitude
498779,617310,Cable,CAB-Maestro,1-May-17,-79.691718,37.148876
498780,643302,VOIP-Res-ShenTel Cable,TEL-Not Receiving Calls,1-May-17,-79.933381,36.959568
498781,174696,Residential Phone,TEL-Noise On Line,1-May-17,-79.101382,38.299048
498782,242356,Network,NET-No Internet Connection,1-May-17,-79.279112,37.321013
498783,598915,VOIP-Res-ShenTel Cable,TEL-Cannot Make Outbound Calls,1-May-17,-81.094335,36.962781
498785,723268,Network - Business Cust,NET-Slow Speed,1-May-17,-79.706182,37.145771
498786,39614,Network-Res DSL,NET-Slow Speed,1-May-17,-78.357835,38.995503
499078,632918,Cable,CAB-Loss of All Channels,2-May-17,-79.535882,37.34979
499082,727219,Network,Drop PRE-Bury,2-May-17,-79.305065,37.388903
499084,44377,Residential Phone,TEL-No Dial Tone,2-May-17,-78.488031,38.794619
499085,675158,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,2-May-17,-80.830594,38.931676
499087,612116,Cable,Drop - Aerial,2-May-17,-81.817844,37.324322
499088,352288,Residential Phone,TEL-No Dial Tone,2-May-17,-78.74642,38.822335
499089,265099,Cable,CAB-Equipment,2-May-17,-79.872163,37.017557
499091,728820,Network,Drop - Aerial,2-May-17,-81.57444,37.66988
499092,409250,Network - Business Cust,NET-No Internet Connection,2-May-17,-78.555171,36.625527
499093,727008,Network,NET-No Internet Connection,2-May-17,-79.245282,37.348122
499094,468522,Network,NET-Slow Speed,2-May-17,-81.386649,37.584376
499392,10644,Residential Phone,TEL-Features Not Working,4-May-17,-78.438,38.847762
499394,729275,Prospect Account,Serviceability Check - RES,4-May-17,-79.099492,37.357809
499396,609992,Network,NET-No Internet Connection,4-May-17,-81.087305,36.956461
499397,672504,Network,Drop Bury - Post Install,4-May-17,-79.386763,39.394504
499399,260490,Cable,CAB-Poor Quality-All Channels,4-May-17,-79.618475,37.021129
499400,489576,Cable,CAB-Poor Quality-All Channels,4-May-17,-78.518456,38.870215
499401,729276,Prospect Account,Serviceability Check - RES,4-May-17,-80.461981,39.049154
499403,729279,Prospect Account,Serviceability Check - RES,4-May-17,-78.346454,38.994223
499405,532364,Cable,TD-Non-Payment Disco,4-May-17,-81.817844,37.324322
499409,729278,Prospect Account,Serviceability Check - RES,4-May-17,-79.291161,37.388936
499410,428850,Cable,CAB-Equipment,4-May-17,-78.360149,38.987564
499412,198924,Cable,TD-Reconnect,4-May-17,-80.64766,38.324387
499686,256784,Network,NET-No Internet Connection,5-May-17,-80.498316,37.17054
499688,699633,Network-Res DSL,NET-No Internet Connection,5-May-17,-78.637461,38.751555
499690,402009,Network,NET-No Internet Connection,5-May-17,-78.833367,37.35761
499692,596894,Network-Res DSL,NET-No Internet Connection,5-May-17,-78.501222,38.884406
499693,639198,Network,NET-No Internet Connection,5-May-17,-79.274013,37.355892
499694,333796,1-Res Cable Modem,NET-Intermittent Connection,5-May-17,-78.510583,38.87198
499698,453497,Residential Phone,TEL-Miscellaneous Issue,5-May-17,-78.709395,38.871089
499700,657070,Network,NET-No Internet Connection,5-May-17,-79.273992,37.355914
499701,235228,Cable,CAB-Loss of Some Channels,5-May-17,-79.276558,37.355924
499703,257776,Cable,CAB-Equipment,5-May-17,-79.809632,37.019021
499704,528711,Network,NET-No Internet Connection,5-May-17,-80.395994,37.138064
499705,585083,VOIP-Res-ShenTel Cable,TEL-Not Receiving Calls,5-May-17,-78.989015,37.344716
498790,235116,Cable,CAB-Loss of All Channels,1-May-17,-79.240477,37.320642
